"quantity_name","units"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_3","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_4","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_5","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_6","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_7","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_8","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_nsteps_layer_9","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_0","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_1","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_2","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_3","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_4","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_5","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_6","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_7","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_8","No units found"
"sunlit_ed_c4_leaf_photosynthesis4_success_layer_9","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_0","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_1","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_2","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_3","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_4","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_5","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_6","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_7","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_8","No units found"
"sunlit_ed_nikolov_conductance_free_solve_ncalls_layer_9","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_0","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_1","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_2","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_3","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_4","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_5","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_6","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_7","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_8","No units found"
"sunlit_ed_nikolov_conductance_free_solve_nsteps_layer_9","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_0","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_1","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_2","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_3","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_4","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_5","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_6","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_7","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_8","No units found"
"sunlit_ed_nikolov_conductance_free_solve_success_layer_9","No units found"
"sunlit_EPenman_layer_0","mmol / m^2 / s"
"sunlit_EPenman_layer_1","mmol / m^2 / s"
"sunlit_EPenman_layer_2","mmol / m^2 / s"
"sunlit_EPenman_layer_3","mmol / m^2 / s"
"sunlit_EPenman_layer_4","mmol / m^2 / s"
"sunlit_EPenman_layer_5","mmol / m^2 / s"
"sunlit_EPenman_layer_6","mmol / m^2 / s"
"sunlit_EPenman_layer_7","mmol / m^2 / s"
"sunlit_EPenman_layer_8","mmol / m^2 / s"
"sunlit_EPenman_layer_9","mmol / m^2 / s"
"sunlit_EPriestly_layer_0","mmol / m^2 / s"
"sunlit_EPriestly_layer_1","mmol / m^2 / s"
"sunlit_EPriestly_layer_2","mmol / m^2 / s"
"sunlit_EPriestly_layer_3","mmol / m^2 / s"
"sunlit_EPriestly_layer_4","mmol / m^2 / s"
"sunlit_EPriestly_layer_5","mmol / m^2 / s"
"sunlit_EPriestly_layer_6","mmol / m^2 / s"
"sunlit_EPriestly_layer_7","mmol / m^2 / s"
"sunlit_EPriestly_layer_8","mmol / m^2 / s"
"sunlit_EPriestly_layer_9","mmol / m^2 / s"
"sunlit_fraction_layer_0","dimensionless"
"sunlit_fraction_layer_1","dimensionless"
"sunlit_fraction_layer_2","dimensionless"
"sunlit_fraction_layer_3","dimensionless"
"sunlit_fraction_layer_4","dimensionless"
"sunlit_fraction_layer_5","dimensionless"
"sunlit_fraction_layer_6","dimensionless"
"sunlit_fraction_layer_7","dimensionless"
"sunlit_fraction_layer_8","dimensionless"
"sunlit_fraction_layer_9","dimensionless"
"sunlit_GrossAssim_layer_0","micromole / m^2 /s"
"sunlit_GrossAssim_layer_0","Mg / ha / hr"
"sunlit_GrossAssim_layer_1","micromole / m^2 /s"
"sunlit_GrossAssim_layer_1","Mg / ha / hr"
"sunlit_GrossAssim_layer_2","micromole / m^2 /s"
"sunlit_GrossAssim_layer_2","Mg / ha / hr"
"sunlit_GrossAssim_layer_3","micromole / m^2 /s"
"sunlit_GrossAssim_layer_3","Mg / ha / hr"
"sunlit_GrossAssim_layer_4","micromole / m^2 /s"
"sunlit_GrossAssim_layer_4","Mg / ha / hr"
"sunlit_GrossAssim_layer_5","micromole / m^2 /s"
"sunlit_GrossAssim_layer_5","Mg / ha / hr"
"sunlit_GrossAssim_layer_6","micromole / m^2 /s"
"sunlit_GrossAssim_layer_6","Mg / ha / hr"
"sunlit_GrossAssim_layer_7","micromole / m^2 /s"
"sunlit_GrossAssim_layer_7","Mg / ha / hr"
"sunlit_GrossAssim_layer_8","micromole / m^2 /s"
"sunlit_GrossAssim_layer_8","Mg / ha / hr"
"sunlit_GrossAssim_layer_9","micromole / m^2 /s"
"sunlit_GrossAssim_layer_9","Mg / ha / hr"
"sunlit_Gs_layer_0","mmol / m^2 / s"
"sunlit_Gs_layer_1","mmol / m^2 / s"
"sunlit_Gs_layer_2","mmol / m^2 / s"
"sunlit_Gs_layer_3","mmol / m^2 / s"
"sunlit_Gs_layer_4","mmol / m^2 / s"
"sunlit_Gs_layer_5","mmol / m^2 / s"
"sunlit_Gs_layer_6","mmol / m^2 / s"
"sunlit_Gs_layer_7","mmol / m^2 / s"
"sunlit_Gs_layer_8","mmol / m^2 / s"
"sunlit_Gs_layer_9","mmol / m^2 / s"
"sunlit_incident_par_layer_0","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_1","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_2","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_3","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_4","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_5","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_6","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_7","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_8","J / (m^2 leaf) / s"
"sunlit_incident_par_layer_9","J / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_0","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_1","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_2","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_3","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_4","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_5","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_6","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_7","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_8","micromol / (m^2 leaf) / s"
"sunlit_incident_ppfd_layer_9","micromol / (m^2 leaf) / s"
"sunlit_latent_heat_vaporization_of_water_layer_0","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_1","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_2","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_3","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_4","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_5","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_6","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_7","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_8","J / kg"
"sunlit_latent_heat_vaporization_of_water_layer_9","J / kg"
"sunlit_leaf_temperature_layer_0","deg. C"
"sunlit_leaf_temperature_layer_1","deg. C"
"sunlit_leaf_temperature_layer_2","deg. C"
"sunlit_leaf_temperature_layer_3","deg. C"
"sunlit_leaf_temperature_layer_4","deg. C"
"sunlit_leaf_temperature_layer_5","deg. C"
"sunlit_leaf_temperature_layer_6","deg. C"
"sunlit_leaf_temperature_layer_7","deg. C"
"sunlit_leaf_temperature_layer_8","deg. C"
"sunlit_leaf_temperature_layer_9","deg. C"
"sunlit_long_wave_energy_loss_leaf_layer_0","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_0","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_1","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_1","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_2","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_2","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_3","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_3","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_4","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_4","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_5","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_5","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_6","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_6","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_7","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_7","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_8","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_8","J / m^2 / s"
"sunlit_long_wave_energy_loss_leaf_layer_9","W / m^2"
"sunlit_long_wave_energy_loss_leaf_layer_9","J / m^2 / s"
"sunlit_mole_fraction_co2_intercellular_layer_0","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_0","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_1","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_1","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_2","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_2","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_3","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_3","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_4","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_4","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_5","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_5","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_6","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_6","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_7","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_7","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_8","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_8","mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_9","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_intercellular_layer_9","mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_0","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_1","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_2","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_3","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_4","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_5","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_6","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_7","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_8","dimensionless from mol / mol"
"sunlit_mole_fraction_co2_leaf_surface_layer_9","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_0","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_1","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_2","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_3","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_4","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_5","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_6","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_7","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_8","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_atmosphere_layer_9","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_0","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_1","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_2","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_3","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_4","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_5","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_6","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_7","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_8","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_intercellular_layer_9","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_0","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_0","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_1","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_1","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_2","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_2","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_3","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_3","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_4","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_4","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_5","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_5","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_6","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_6","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_7","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_7","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_8","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_8","dimensionless from Pa / Pa"
"sunlit_mole_fraction_h2o_leaf_surface_layer_9","dimensionless from mol / mol"
"sunlit_mole_fraction_h2o_leaf_surface_layer_9","dimensionless from Pa / Pa"
"sunlit_nikolov_virtual_temperature_difference_layer_0","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_1","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_2","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_3","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_4","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_5","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_6","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_7","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_8","degrees C"
"sunlit_nikolov_virtual_temperature_difference_layer_9","degrees C"
"sunlit_psychrometric_parameter_layer_0","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_1","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_2","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_3","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_4","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_5","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_6","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_7","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_8","kg / m^3 / K"
"sunlit_psychrometric_parameter_layer_9","kg / m^3 / K"
"sunlit_respiration_layer_0","mol / m^2 / s"
"sunlit_respiration_layer_1","mol / m^2 / s"
"sunlit_respiration_layer_2","mol / m^2 / s"
"sunlit_respiration_layer_3","mol / m^2 / s"
"sunlit_respiration_layer_4","mol / m^2 / s"
"sunlit_respiration_layer_5","mol / m^2 / s"
"sunlit_respiration_layer_6","mol / m^2 / s"
"sunlit_respiration_layer_7","mol / m^2 / s"
"sunlit_respiration_layer_8","mol / m^2 / s"
"sunlit_respiration_layer_9","mol / m^2 / s"
"sunlit_saturation_water_vapor_pressure_layer_0","Pa"
"sunlit_saturation_water_vapor_pressure_layer_1","Pa"
"sunlit_saturation_water_vapor_pressure_layer_2","Pa"
"sunlit_saturation_water_vapor_pressure_layer_3","Pa"
"sunlit_saturation_water_vapor_pressure_layer_4","Pa"
"sunlit_saturation_water_vapor_pressure_layer_5","Pa"
"sunlit_saturation_water_vapor_pressure_layer_6","Pa"
"sunlit_saturation_water_vapor_pressure_layer_7","Pa"
"sunlit_saturation_water_vapor_pressure_layer_8","Pa"
"sunlit_saturation_water_vapor_pressure_layer_9","Pa"
"sunlit_sensible_heat_loss_layer_0","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_1","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_2","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_3","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_4","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_5","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_6","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_7","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_8","J / m^2 / s"
"sunlit_sensible_heat_loss_layer_9","J / m^2 / s"
"sunlit_slope_water_vapor_layer_0","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_1","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_2","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_3","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_4","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_5","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_6","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_7","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_8","kg / m^3 / K"
"sunlit_slope_water_vapor_layer_9","kg / m^3 / K"
"sunlit_temperature_leaf_layer_0","deg. C"
"sunlit_temperature_leaf_layer_1","deg. C"
"sunlit_temperature_leaf_layer_2","deg. C"
"sunlit_temperature_leaf_layer_3","deg. C"
"sunlit_temperature_leaf_layer_4","deg. C"
"sunlit_temperature_leaf_layer_5","deg. C"
"sunlit_temperature_leaf_layer_6","deg. C"
"sunlit_temperature_leaf_layer_7","deg. C"
"sunlit_temperature_leaf_layer_8","deg. C"
"sunlit_temperature_leaf_layer_9","deg. C"
"sunlit_transpiration_energy_layer_0","J / m^2 / s"
"sunlit_transpiration_energy_layer_1","J / m^2 / s"
"sunlit_transpiration_energy_layer_2","J / m^2 / s"
"sunlit_transpiration_energy_layer_3","J / m^2 / s"
"sunlit_transpiration_energy_layer_4","J / m^2 / s"
"sunlit_transpiration_energy_layer_5","J / m^2 / s"
"sunlit_transpiration_energy_layer_6","J / m^2 / s"
"sunlit_transpiration_energy_layer_7","J / m^2 / s"
"sunlit_transpiration_energy_layer_8","J / m^2 / s"
"sunlit_transpiration_energy_layer_9","J / m^2 / s"
"sunlit_transpiration_rate_layer_0","mol / m^2 / s"
"sunlit_transpiration_rate_layer_1","mol / m^2 / s"
"sunlit_transpiration_rate_layer_2","mol / m^2 / s"
"sunlit_transpiration_rate_layer_3","mol / m^2 / s"
"sunlit_transpiration_rate_layer_4","mol / m^2 / s"
"sunlit_transpiration_rate_layer_5","mol / m^2 / s"
"sunlit_transpiration_rate_layer_6","mol / m^2 / s"
"sunlit_transpiration_rate_layer_7","mol / m^2 / s"
"sunlit_transpiration_rate_layer_8","mol / m^2 / s"
"sunlit_transpiration_rate_layer_9","mol / m^2 / s"
"sunlit_TransR_layer_0","mmol / m^2 / s"
"sunlit_TransR_layer_1","mmol / m^2 / s"
"sunlit_TransR_layer_2","mmol / m^2 / s"
"sunlit_TransR_layer_3","mmol / m^2 / s"
"sunlit_TransR_layer_4","mmol / m^2 / s"
"sunlit_TransR_layer_5","mmol / m^2 / s"
"sunlit_TransR_layer_6","mmol / m^2 / s"
"sunlit_TransR_layer_7","mmol / m^2 / s"
"sunlit_TransR_layer_8","mmol / m^2 / s"
"sunlit_TransR_layer_9","mmol / m^2 / s"
"sunlit_vapor_density_deficit_layer_0","kg / m^3"
"sunlit_vapor_density_deficit_layer_1","kg / m^3"
"sunlit_vapor_density_deficit_layer_2","kg / m^3"
"sunlit_vapor_density_deficit_layer_3","kg / m^3"
"sunlit_vapor_density_deficit_layer_4","kg / m^3"
"sunlit_vapor_density_deficit_layer_5","kg / m^3"
"sunlit_vapor_density_deficit_layer_6","kg / m^3"
"sunlit_vapor_density_deficit_layer_7","kg / m^3"
"sunlit_vapor_density_deficit_layer_8","kg / m^3"
"sunlit_vapor_density_deficit_layer_9","kg / m^3"
"sunlit_water_vapor_pressure_layer_0","Pa"
"sunlit_water_vapor_pressure_layer_1","Pa"
"sunlit_water_vapor_pressure_layer_2","Pa"
"sunlit_water_vapor_pressure_layer_3","Pa"
"sunlit_water_vapor_pressure_layer_4","Pa"
"sunlit_water_vapor_pressure_layer_5","Pa"
"sunlit_water_vapor_pressure_layer_6","Pa"
"sunlit_water_vapor_pressure_layer_7","Pa"
"sunlit_water_vapor_pressure_layer_8","Pa"
"sunlit_water_vapor_pressure_layer_9","Pa"
"sunrise","No units found"
"sunset","No units found"
"talpha","dimensionless"
"target_time","No units found"
"tbase","degrees C"
"tbase","degrees C, base temperature"
"Tbase_emr","degrees C; base temp for thermal time from sowing to emergence"
"tbeta","dimensionless"
"temp","degrees C"
"temp","deg. C"
"temperature_leaf","degrees C"
"temperature_leaf","deg. C"
"temperature_leaf","mol / m^2 / s"
"Tfrosthigh","degrees C"
"Tfrostlow","degrees C"
"theta","dimensionless"
"time","days"
"time","time expressed as a fractional day of year"
"Tleaf","degrees C"
"tmax","degrees C"
"Tmax_emrV0","degrees C"
"Tmax_R0R1","degrees C"
"Tmax_R1R7","degrees C"
"Tmin_emrV0","degrees C"
"Tmin_R0R1","degrees C"
"Tmin_R1R7","degrees C"
"TOC1_mRNA","No units found"
"TOC1_prot","No units found"
"topt","degrees C"
"Topt_emrV0","degrees C"
"topt_lower","degrees C"
"Topt_R0R1","degrees C"
"Topt_R1R7","degrees C"
"topt_upper","degrees C"
"total_biomass","Mg / ha"
"total_energy","J"
"tp1","No units found"
"tp2","No units found"
"tp3","No units found"
"tp4","No units found"
"tp5","No units found"
"tpu_rate_max","micromol / m^2 / s"
"tpu_rate_max","micromole / m^2 / s"
"tracker_rate","No units found"
"transpiration_energy","J / m^2 / s"
"transpiration_rate","mol / m^2 / s"
"transport_leaf_to_stem","No units found"
"transport_stem_to_grain","No units found"
"transport_stem_to_rhizome","No units found"
"transport_stem_to_root","No units found"
"TransR","mmol / m^2 / s"
"TTc","degree C * day"
"TTc","degrees C * day / hr"
"ttc_scale","degrees C * day / hr"
"TTemr","degrees C * days, thermal time from sowing to emergence"
"TTemr_threshold","degrees C * days; accumulated thermal time for emergence"
"TTrep","degrees C * days, thermal time of reproductive states"
"TTveg","degrees C * days, thermal time of vegetative states"
"tupper","degrees C"
"u","No units found"
"upperT","degrees C"
"upperT","deg. C"
"utilization_grain","No units found"
"utilization_leaf","No units found"
"utilization_rhizome","No units found"
"utilization_root","No units found"
"utilization_stem","No units found"
"v","No units found"
"vapor_density_deficit","kg / m^3"
"Vcmax","No units found"
"velocity","m / s"
"velocity","m / s^2"
"vmax","micromol / m^2 / s"
"vmax_n_intercept","No units found"
"vmax1","micromole / m^2 / s"
"water_stress_approach","dimensionless"
"water_stress_approach","a dimensionless switch"
"water_stress_approach","dimensionless switch"
"water_vapor_pressure","Pa"
"windspeed","m / s"
"windspeed_layer_0","m / s"
"windspeed_layer_1","m / s"
"windspeed_layer_2","m / s"
"windspeed_layer_3","m / s"
"windspeed_layer_4","m / s"
"windspeed_layer_5","m / s"
"windspeed_layer_6","m / s"
"windspeed_layer_7","m / s"
"windspeed_layer_8","m / s"
"windspeed_layer_9","m / s"
"wsFun","No units found"
"x","unitless"
"y","unitless"
"ZTL","No units found"
